,country,cnt_code,year,va,ps,ge,rq,rl,cc,fh,cc_round,fh_status
172,El Salvador,SLV,2016,0.28,-0.06,-0.28,0.09,-0.71,-0.57,2.5,-0.6,Free
130,Mongolia,MNG,2016,0.45,0.82,-0.11,-0.08,-0.22,-0.5,1.5,-0.5,Free
150,Panama,PAN,2016,0.53,0.43,0.19,0.36,0.03,-0.49,2.0,-0.5,Free
17,Benin,BEN,2016,0.5,0.05,-0.57,-0.53,-0.65,-0.48,2.0,-0.5,Free
146,Nauru,NRU,2016,0.52,0.55,-0.69,-0.38,-0.8,-0.47,2.0,-0.5,Free
151,Palau,PLW,2016,1.23,0.93,-0.41,-0.18,0.32,-0.47,1.0,-0.5,Free
28,Brazil,BRA,2016,0.47,-0.45,-0.18,-0.21,-0.08,-0.44,2.0,-0.4,Free
189,Tonga,TON,2016,0.67,0.91,-0.29,-0.41,0.24,-0.44,2.0,-0.4,Free
152,Peru,PER,2016,0.28,-0.16,-0.17,0.51,-0.49,-0.35,2.5,-0.3,Free
81,Guyana,GUY,2016,0.3,-0.03,-0.3,-0.42,-0.31,-0.32,2.5,-0.3,Free
176,Suriname,SUR,2016,0.46,0.27,-0.34,-0.63,-0.12,-0.32,2.5,-0.3,Free
209,Serbia,SRB,2016,0.21,0.05,0.09,0.06,-0.12,-0.31,2.0,-0.3,Free
8,Argentina,ARG,2016,0.54,0.22,0.18,-0.47,-0.35,-0.31,2.0,-0.3,Free
88,India,IND,2016,0.41,-0.95,0.1,-0.31,-0.07,-0.3,2.5,-0.3,Free
190,Trinidad and Tobago,TTO,2016,0.6,0.28,0.22,0.09,-0.16,-0.26,2.0,-0.3,Free
25,Belize,BLZ,2016,0.67,0.06,-0.68,-0.51,-0.86,-0.24,1.5,-0.2,Free
70,Ghana,GHA,2016,0.64,-0.16,-0.2,-0.23,0.0,-0.17,1.5,-0.2,Free
20,Bulgaria,BGR,2016,0.44,0.03,0.29,0.66,-0.04,-0.16,2.0,-0.2,Free
95,Jamaica,JAM,2016,0.69,0.24,0.41,0.16,-0.25,-0.16,2.5,-0.2,Free
191,Tunisia,TUN,2016,0.33,-0.99,-0.21,-0.47,0.02,-0.12,2.0,-0.1,Free
205,Vanuatu,VUT,2016,0.69,0.51,-0.88,-0.29,0.32,-0.1,2.0,-0.1,Free
175,São Tomé and Principe,STP,2016,0.45,0.23,-0.68,-0.81,-0.69,-0.06,2.0,-0.1,Free
125,Marshall Islands,MHL,2016,1.2,0.93,-1.56,-0.98,-0.1,-0.06,1.0,-0.1,Free
75,Greece,GRC,2016,0.65,-0.14,0.21,0.15,0.2,-0.05,2.0,-0.1,Free
168,Senegal,SEN,2016,0.37,-0.27,-0.47,-0.14,-0.19,-0.03,2.0,-0.0,Free
162,Romania,ROM,2016,0.51,0.27,-0.17,0.59,0.3,0.0,2.0,0.0,Free
193,Tuvalu,TUV,2016,1.09,1.4,-0.93,-0.59,0.46,0.03,1.0,0.0,Free
156,Puerto Rico,PRI,2016,0.4,0.81,0.38,0.95,0.68,0.04,1.0,0.0,Free
210,South Africa,ZAF,2016,0.64,-0.13,0.27,0.21,0.07,0.05,2.0,0.1,Free
94,Italy,ITA,2016,1.04,0.35,0.52,0.71,0.27,0.05,1.0,0.1,Free
86,Hungary,HUN,2016,0.37,0.71,0.45,0.6,0.51,0.08,2.0,0.1,Free
84,Croatia,HRV,2016,0.52,0.68,0.49,0.36,0.44,0.19,1.5,0.2,Free
177,Slovak Republic,SVK,2016,0.94,0.62,0.89,0.89,0.69,0.24,1.0,0.2,Free
102,Kiribati,KIR,2016,1.03,0.87,-0.45,-0.84,0.21,0.25,1.0,0.2,Free
165,Samoa,WSM,2016,0.76,1.19,0.54,-0.1,0.76,0.28,2.0,0.3,Free
135,Mauritius,MUS,2016,0.86,1.05,0.96,1.03,0.8,0.32,1.5,0.3,Free
138,Namibia,NAM,2016,0.61,0.74,0.17,-0.14,0.39,0.37,2.0,0.4,Free
104,"Korea, Rep.",KOR,2016,0.63,0.17,1.07,1.11,1.14,0.37,2.0,0.4,Free
116,Latvia,LVA,2016,0.87,0.39,1.0,1.08,0.95,0.49,2.0,0.5,Free
50,Czech Republic,CZE,2016,1.05,0.99,1.06,0.99,1.09,0.51,1.0,0.5,Free
60,Spain,ESP,2016,1.06,0.49,1.12,1.01,0.98,0.52,1.0,0.5,Free
103,St. Kitts and Nevis,KNA,2016,1.07,0.62,0.14,0.37,0.51,0.52,1.5,0.5,Free
76,Grenada,GRD,2016,0.86,1.01,-0.18,0.08,0.57,0.57,1.5,0.6,Free
53,Dominica,DMA,2016,0.99,1.13,0.05,0.2,0.61,0.63,1.0,0.6,Free
110,St. Lucia,LCA,2016,1.09,0.86,0.01,0.29,0.51,0.63,1.0,0.6,Free
66,"Micronesia, Fed. Sts.",FSM,2016,1.16,1.05,-0.35,-0.97,-0.06,0.65,1.0,0.7,Free
114,Lithuania,LTU,2016,0.99,0.8,1.09,1.14,1.02,0.67,1.0,0.7,Free
201,St. Vincent and the Grenadines,VCT,2016,1.04,1.01,0.21,0.28,0.41,0.68,1.0,0.7,Free
11,Antigua and Barbuda,ATG,2016,0.65,1.01,0.27,0.34,0.51,0.69,2.0,0.7,Free
46,Costa Rica,CRI,2016,1.14,0.75,0.36,0.41,0.46,0.7,1.0,0.7,Free
128,Malta,MLT,2016,1.2,1.08,0.95,1.16,1.08,0.72,1.0,0.7,Free
155,Poland,POL,2016,0.84,0.51,0.69,0.95,0.68,0.75,1.0,0.8,Free
178,Slovenia,SVN,2016,1.0,0.99,1.12,0.64,1.08,0.8,1.0,0.8,Free
49,Cyprus,CYP,2016,1.08,0.57,0.98,1.05,0.73,0.82,1.0,0.8,Free
194,"Taiwan, China",TWN,2016,1.04,0.93,1.37,1.29,1.14,0.86,1.5,0.9,Free
