,country,cnt_code,year,va,ps,ge,rq,rl,cc,fh,cc_round,fh_status
73,Guinea-Bissau,GNB,2016,-0.7,-0.5,-1.64,-1.24,-1.49,-1.56,5.0,-1.6,Partly Free
202,"Venezuela, RB",VEN,2016,-1.13,-1.03,-1.29,-2.0,-2.18,-1.39,5.0,-1.4,Partly Free
85,Haiti,HTI,2016,-0.73,-0.67,-2.06,-1.24,-1.0,-1.35,5.0,-1.4,Partly Free
213,Zimbabwe,ZWE,2016,-1.11,-0.61,-1.16,-1.72,-1.32,-1.28,5.0,-1.3,Partly Free
100,Kyrgyz Republic,KGZ,2016,-0.49,-0.66,-0.9,-0.35,-1.1,-1.08,5.0,-1.1,Partly Free
140,Nigeria,NGA,2016,-0.3,-1.85,-1.09,-0.92,-1.05,-1.04,4.5,-1.0,Partly Free
107,Lebanon,LBN,2016,-0.52,-1.56,-0.53,-0.34,-0.86,-0.97,4.5,-1.0,Partly Free
121,Moldova,MDA,2016,-0.03,-0.28,-0.62,-0.12,-0.54,-0.96,3.0,-1.0,Partly Free
71,Guinea,GIN,2016,-0.73,-0.41,-1.01,-0.87,-1.29,-0.94,5.0,-0.9,Partly Free
154,Papua New Guinea,PNG,2016,0.19,-0.5,-0.73,-0.56,-0.75,-0.92,3.5,-0.9,Partly Free
122,Madagascar,MDG,2016,-0.27,-0.4,-1.17,-0.69,-0.74,-0.9,3.5,-0.9,Partly Free
99,Kenya,KEN,2016,-0.15,-1.33,-0.31,-0.3,-0.53,-0.9,4.0,-0.9,Partly Free
141,Nicaragua,NIC,2016,-0.63,-0.17,-0.7,-0.51,-0.6,-0.89,3.5,-0.9,Partly Free
132,Mozambique,MOZ,2016,-0.39,-1.05,-0.85,-0.7,-1.02,-0.87,4.0,-0.9,Partly Free
149,Pakistan,PAK,2016,-0.69,-2.47,-0.64,-0.64,-0.83,-0.86,4.5,-0.9,Partly Free
197,Ukraine,UKR,2016,0.02,-1.89,-0.58,-0.43,-0.77,-0.84,3.0,-0.8,Partly Free
171,Sierra Leone,SLE,2016,-0.13,-0.16,-1.2,-0.93,-0.79,-0.82,3.0,-0.8,Partly Free
19,Bangladesh,BGD,2016,-0.56,-1.24,-0.69,-0.8,-0.59,-0.8,4.0,-0.8,Partly Free
55,Dominican Republic,DOM,2016,0.19,0.29,-0.25,-0.07,-0.29,-0.78,3.0,-0.8,Partly Free
124,Mexico,MEX,2016,-0.09,-0.77,0.14,0.29,-0.5,-0.77,3.0,-0.8,Partly Free
145,Nepal,NPL,2016,-0.23,-0.79,-0.81,-0.76,-0.84,-0.76,3.5,-0.8,Partly Free
159,Paraguay,PRY,2016,-0.04,0.2,-0.77,-0.3,-0.67,-0.75,3.0,-0.8,Partly Free
136,Malawi,MWI,2016,0.04,-0.06,-0.73,-0.84,-0.37,-0.75,3.0,-0.8,Partly Free
78,Guatemala,GTM,2016,-0.31,-0.54,-0.6,-0.2,-1.04,-0.74,4.0,-0.7,Partly Free
108,Liberia,LBR,2016,-0.1,-0.55,-1.32,-0.95,-0.97,-0.71,3.5,-0.7,Partly Free
27,Bolivia,BOL,2016,0.01,-0.21,-0.57,-0.92,-1.2,-0.71,3.0,-0.7,Partly Free
83,Honduras,HND,2016,-0.43,-0.36,-0.73,-0.51,-1.11,-0.69,4.0,-0.7,Partly Free
184,Togo,TGO,2016,-0.51,-0.2,-1.08,-0.79,-0.68,-0.68,4.0,-0.7,Partly Free
123,Maldives,MDV,2016,-0.74,0.41,-0.33,-0.46,-0.41,-0.67,4.5,-0.7,Partly Free
