InvoiceNo,InvoiceDate,InvoiceSum
539993,2011-01-04,27.900
540001,2011-01-04,157.800
540003,2011-01-04,21.600
540005,2011-01-04,4.330
540013,2011-01-04,81.700
540014,2011-01-04,44.310
540015,2011-01-04,58.050
540016,2011-01-04,38.550
540017,2011-01-04,38.400
540019,2011-01-04,29.850
540021,2011-01-04,58.180
540022,2011-01-04,15.120
540023,2011-01-04,36.350
540025,2011-01-04,104.880
540026,2011-01-04,485.790
540027,2011-01-04,65.520
540028,2011-01-04,19.900
540029,2011-01-04,90.000
540031,2011-01-04,31.700
540032,2011-01-04,112.960
540033,2011-01-04,185.610
540043,2011-01-04,26.750
540059,2011-01-04,75.600
540060,2011-01-04,15.800
540073,2011-01-04,34.650
540095,2011-01-04,44.840
540096,2011-01-04,40.800
540098,2011-01-04,13.220
540099,2011-01-04,107.950
540113,2011-01-05,31.950
540114,2011-01-05,13.920
540120,2011-01-05,59.400
540121,2011-01-05,94.200
540122,2011-01-05,168.720
540126,2011-01-05,60.000
540130,2011-01-05,326.400
540146,2011-01-05,24.600
540148,2011-01-05,26.400
540149,2011-01-05,32.000
540153,2011-01-05,25.000
540154,2011-01-05,277.910
540157,2011-01-05,136.380
540162,2011-01-05,33.150
540163,2011-01-05,84.640
540166,2011-01-05,330.000
540168,2011-01-05,101.950
540169,2011-01-05,2.100
540170,2011-01-05,30.000
540172,2011-01-05,17.800
540174,2011-01-05,102.000
540176,2011-01-05,667.600
540179,2011-01-05,45.000
540180,2011-01-05,39.850
540182,2011-01-05,30.000
540184,2011-01-05,55.700
540185,2011-01-05,22.560
540187,2011-01-05,90.390
540188,2011-01-05,33.640
540238,2011-01-05,50.640
540240,2011-01-05,61.800
540242,2011-01-05,13.750
540245,2011-01-05,103.800
540247,2011-01-05,87.460
540248,2011-01-05,89.240
540249,2011-01-05,59.880
540255,2011-01-05,396.020
540257,2011-01-05,20.450
540259,2011-01-06,113.480
540260,2011-01-06,115.480
540264,2011-01-06,432.000
540268,2011-01-06,265.200
540269,2011-01-06,15.000
540274,2011-01-06,20.400
540275,2011-01-06,184.000
540276,2011-01-06,255.000
540277,2011-01-06,187.100
540278,2011-01-06,31.700
540288,2011-01-06,115.900
540316,2011-01-06,67.250
540348,2011-01-06,26.200
540349,2011-01-06,79.840
540350,2011-01-06,22.800
540352,2011-01-06,230.480
540353,2011-01-06,60.500
540354,2011-01-06,208.320
540355,2011-01-06,202.880
540356,2011-01-06,52.950
540357,2011-01-06,78.360
540358,2011-01-06,28.720
540359,2011-01-06,40.660
540361,2011-01-06,81.600
540362,2011-01-06,70.700
540364,2011-01-06,35.200
540370,2011-01-06,76.320
540371,2011-01-06,93.700
540372,2011-01-06,353.750
540373,2011-01-06,33.600
540374,2011-01-06,15.000
540383,2011-01-06,20.160
540387,2011-01-06,50.600
540395,2011-01-06,30.800
540396,2011-01-06,327.840
540397,2011-01-06,39.700
540402,2011-01-07,119.450
540404,2011-01-07,27.000
540405,2011-01-07,50.400
540407,2011-01-07,51.000
540409,2011-01-07,27.750
540411,2011-01-07,25.200
540412,2011-01-07,33.500
540413,2011-01-07,10.200
540415,2011-01-07,49.600
540416,2011-01-07,16.500
540418,2011-01-07,206.730
540420,2011-01-07,36.300
540453,2011-01-07,157.040
540456,2011-01-07,19.500
540457,2011-01-07,15.900
540459,2011-01-07,121.500
540460,2011-01-07,4.560
540461,2011-01-07,13.200
540462,2011-01-07,121.800
540464,2011-01-07,261.220
540467,2011-01-07,45.600
540468,2011-01-07,361.370
540471,2011-01-07,109.500
540472,2011-01-07,69.000
540473,2011-01-07,117.700
540475,2011-01-07,5.000
540477,2011-01-07,64.120
540481,2011-01-07,46.500
540482,2011-01-07,58.500
540489,2011-01-07,66.500
540493,2011-01-07,15.000
540496,2011-01-07,10.080
540498,2011-01-09,1.900
540499,2011-01-09,23.800
540500,2011-01-09,67.500
