,Unnamed: 0,mode,price,catch,pbeach,ppier,pboat,pcharter,cbeach,cpier,cboat,ccharter,income
0,1,charter,182.93,0.5391,157.93,157.93,157.93,182.93,0.0678,0.0503,0.2601,0.5391,7083.3317
1,2,charter,34.534,0.4671,15.114,15.114,10.534,34.534,0.1049,0.0451,0.1574,0.4671,1249.9998
2,3,boat,24.334,0.2413,161.874,161.874,24.334,59.333999999999996,0.5333,0.4522,0.2413,1.0266,3749.9999
3,4,pier,15.134,0.0789,15.134,15.134,55.93,84.93,0.0678,0.0789,0.1643,0.5391,2083.3332
4,5,boat,41.513999999999996,0.1082,106.93,106.93,41.513999999999996,71.014,0.0678,0.0503,0.1082,0.324,4583.332
5,6,charter,63.934,0.3975,192.47400000000002,192.47400000000002,28.934,63.934,0.5333,0.4522,0.1665,0.3975,4583.332
6,7,beach,51.934,0.0678,51.934,51.934,191.93,220.93,0.0678,0.0789,0.1643,0.5391,8750.001
7,8,charter,56.714,0.0209,15.134,15.134,21.714000000000002,56.714,0.0678,0.0789,0.0102,0.0209,2083.3332
8,9,boat,34.914,0.0233,34.914,34.914,34.914,53.413999999999994,0.2537,0.1498,0.0233,0.0219,3749.9999
9,10,boat,28.314,0.0233,28.314,28.314,28.314,46.81399999999999,0.2537,0.1498,0.0233,0.0219,2916.6666
10,11,pier,34.914,0.0451,34.914,34.914,24.334,48.333999999999996,0.1049,0.0451,0.1574,0.4671,3749.9999
11,12,boat,16.722,0.2413,312.144,312.144,16.722,51.722,0.5333,0.4522,0.2413,1.0266,7083.3317
12,13,pier,17.862000000000002,0.0451,17.862000000000002,17.862000000000002,4.122,28.122,0.1049,0.0451,0.0023,0.0046,1249.9998
13,14,pier,15.134,0.0789,15.134,15.134,55.93,84.93,0.0678,0.0789,0.0014,0.0029,2083.3332
14,15,beach,74.514,0.2537,74.514,74.514,74.514,93.014,0.2537,0.1498,0.2339,0.6288,8750.001
15,16,pier,33.534,0.0789,33.534,33.534,123.93,152.93,0.0678,0.0789,0.1643,0.5391,5416.6667
16,17,beach,48.114,0.1049,48.114,48.114,33.534,57.534,0.1049,0.0451,0.1574,0.4671,5416.6667
17,18,pier,33.461999999999996,0.0079,33.461999999999996,33.461999999999996,7.722,31.721999999999998,0.1049,0.0079,0.0613,0.3087,2916.6666
