,Unnamed: 0,Unnamed: 0.1,mode,price,catch,pbeach,ppier,pboat,pcharter,cbeach,cpier,cboat,ccharter,income,log_income,pdiff
6,6,7,beach,51.934,0.0678,51.934,51.934,191.93,220.93,0.0678,0.0789,0.1643,0.5391,8750.001,9.076809093637367,0.0
14,14,15,beach,74.514,0.2537,74.514,74.514,74.514,93.014,0.2537,0.1498,0.2339,0.6288,8750.001,9.076809093637367,0.0
16,16,17,beach,48.114,0.1049,48.114,48.114,33.534,57.534,0.1049,0.0451,0.1574,0.4671,5416.6667,8.59723590524362,0.0
25,25,26,beach,67.78399999999999,0.5333,67.78399999999999,67.78399999999999,17.862000000000005,52.862,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,0.0
33,33,34,beach,9.522,0.0678,9.522,9.522,78.292,107.292,0.0678,0.0789,0.0014,0.0029,3749.9999,8.22951109229779,0.0
48,48,49,beach,24.334,0.0678,24.334,24.334,89.93,118.93,0.0678,0.0789,0.1643,0.5391,3749.9999,8.22951109229779,0.0
49,49,50,beach,11.322,0.0678,11.322,11.322,93.092,122.092,0.0678,0.0789,0.1643,0.5391,4583.332,8.430181523517474,0.0
75,75,76,beach,9.522,0.0678,9.522,9.522,78.292,107.292,0.0678,0.0789,0.1643,0.5391,3749.9999,8.22951109229779,0.0
76,76,77,beach,24.696,0.0678,24.696,24.696,111.132,140.132,0.0678,0.0789,0.1643,0.5391,7916.6663,8.976725474478886,0.0
81,81,82,beach,7.722,0.0678,7.722,7.722,63.492,92.492,0.0678,0.0789,0.0014,0.0029,2916.6666,7.978196667826407,0.0
99,99,100,beach,31.74,0.2537,31.74,31.74,38.088,56.588,0.2537,0.1498,0.2339,0.6288,3749.9999,8.22951109229779,0.0
100,100,101,beach,19.74,0.2537,19.74,19.74,23.688,42.188,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
113,113,114,beach,42.32,0.2537,42.32,42.32,42.32,60.82,0.2537,0.1498,0.0233,0.0219,3749.9999,8.22951109229779,0.0
120,120,121,beach,73.002,0.2537,73.002,73.002,73.002,91.502,0.2537,0.1498,0.2339,0.6288,3749.9999,8.22951109229779,0.0
123,123,124,beach,61.74,0.2537,61.74,61.74,74.08800000000002,92.588,0.2537,0.1498,0.2339,0.6288,7916.6663,8.976725474478886,0.0
163,163,164,beach,42.772,0.0678,42.772,42.772,104.414,133.414,0.0678,0.0789,0.1643,0.5391,4583.332,8.430181523517474,0.0
165,165,166,beach,15.572,0.0678,15.572,15.572,38.014,67.014,0.0678,0.0789,0.1643,0.5391,1249.9998,7.130898670296334,0.0
168,168,169,beach,124.35,0.2537,124.35,124.35,124.35,142.85,0.2537,0.1498,0.2339,0.6288,6250.0013,8.740336950730425,0.0
173,173,174,beach,22.372,0.0678,22.372,22.372,54.614,83.61399999999998,0.0678,0.0789,0.1643,0.5391,2083.3332,7.641724390062335,0.0
180,180,181,beach,49.572,0.0678,49.572,49.572,121.014,150.014,0.0678,0.0789,0.1643,0.5391,5416.6667,8.59723590524362,0.0
188,188,189,beach,34.914,0.2537,34.914,34.914,34.914,53.414,0.2537,0.1498,0.2339,0.6288,3749.9999,8.22951109229779,0.0
201,201,202,beach,117.306,0.0678,117.306,117.306,181.104,210.104,0.0678,0.0789,0.1643,0.5391,7916.6663,8.976725474478886,0.0
216,216,217,beach,120.004,0.0678,120.004,120.004,252.64,281.64,0.0678,0.0789,0.1643,0.5391,12499.998,9.43348376329038,0.0
