,Unnamed: 0,Unnamed: 0.1,mode,price,catch,pbeach,ppier,pboat,pcharter,cbeach,cpier,cboat,ccharter,income,log_income,pdiff
2,2,3,boat,24.334,0.2413,161.874,161.874,24.334,59.334,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,137.54
4,4,5,boat,41.514,0.1082,106.93,106.93,41.514,71.014,0.0678,0.0503,0.1082,0.324,4583.332,8.430181523517474,65.416
8,8,9,boat,34.914,0.0233,34.914,34.914,34.914,53.414,0.2537,0.1498,0.0233,0.0219,3749.9999,8.22951109229779,0.0
9,9,10,boat,28.314,0.0233,28.314,28.314,28.314,46.81399999999999,0.2537,0.1498,0.0233,0.0219,2916.6666,7.978196667826407,0.0
11,11,12,boat,16.722,0.2413,312.144,312.144,16.722,51.722,0.5333,0.4522,0.2413,1.0266,7083.3317,8.86549965509619,295.422
18,18,19,boat,11.322,0.0361,211.344,211.344,11.322,46.322,0.5333,0.0069,0.0361,0.4216,4583.332,8.430181523517474,200.022
19,19,20,boat,11.322,0.1574,49.062,49.062,11.322,35.322,0.1049,0.0451,0.1574,0.4671,4583.332,8.430181523517474,37.739999999999995
22,22,23,boat,15.134,0.1665,100.674,100.674,15.134,50.13399999999999,0.5333,0.4522,0.1665,0.3975,2083.3332,7.641724390062335,85.54
27,27,28,boat,74.32,0.0897,72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7083.3317,8.86549965509619,1.8579999999999899
32,32,33,boat,7.722,0.0023,33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2916.6666,7.978196667826407,25.740000000000002
37,37,38,boat,80.608,0.0531,25.648000000000003,25.648000000000003,80.608,105.608,0.2537,0.1498,0.0531,0.0052,1249.9998,7.130898670296334,54.96
40,40,41,boat,46.332,0.1643,10.296,10.296,46.332,75.332,0.0678,0.0789,0.1643,0.5391,2916.6666,7.978196667826407,36.036
42,42,43,boat,15.095999999999998,0.2413,231.472,231.472,15.095999999999998,50.096,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,216.376
52,52,53,boat,9.522,0.2413,177.74400000000003,177.74400000000003,9.522,44.522,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,168.22200000000004
53,53,54,boat,10.534,0.0361,70.074,70.074,10.534,45.534,0.5333,0.0069,0.0361,0.4216,1249.9998,7.130898670296334,59.54
57,57,58,boat,5.9220000000000015,0.0613,25.662,25.662,5.9220000000000015,29.922,0.1049,0.0079,0.0613,0.3087,2083.3332,7.641724390062335,19.74
58,58,59,boat,13.122,0.0156,244.944,244.944,13.122,48.122,0.5333,0.4522,0.0156,0.0058,5416.6667,8.59723590524362,231.822
63,63,64,boat,9.522,0.1574,41.262,41.262,9.522,33.522,0.1049,0.0451,0.1574,0.4671,3749.9999,8.22951109229779,31.740000000000002
66,66,67,boat,9.522,0.2413,177.74400000000003,177.74400000000003,9.522,44.522,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,168.22200000000004
68,68,69,boat,13.122,0.2413,244.944,244.944,13.122,48.122,0.5333,0.4522,0.2413,1.0266,5416.6667,8.59723590524362,231.822
70,70,71,boat,7.722,0.0023,33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2916.6666,7.978196667826407,25.740000000000002
73,73,74,boat,13.122,0.0361,244.944,244.944,13.122,48.122,0.5333,0.0069,0.0361,0.4216,5416.6667,8.59723590524362,231.822
74,74,75,boat,14.922,0.0023,64.66199999999999,64.66199999999999,14.922,38.922,0.1049,0.0451,0.0023,0.0046,6250.0013,8.740336950730425,49.739999999999995
77,77,78,boat,33.892,0.2601,33.892,33.892,33.892,58.892,0.0678,0.0503,0.2601,0.5391,1249.9998,7.130898670296334,0.0
79,79,80,boat,5.9220000000000015,0.2413,110.544,110.544,5.9220000000000015,40.922,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,104.622
82,82,83,boat,9.522,0.1665,177.74400000000003,177.74400000000003,9.522,44.522,0.5333,0.4522,0.1665,0.3975,3749.9999,8.22951109229779,168.22200000000004
83,83,84,boat,4.122,0.1574,17.862000000000005,17.862000000000005,4.122,28.122,0.1049,0.0451,0.1574,0.4671,1249.9998,7.130898670296334,13.740000000000006
85,85,86,boat,39.474,0.6817,8.514,8.514,39.474,64.47399999999999,0.2537,0.1498,0.6817,2.3014,416.66668,6.0322865736282365,30.959999999999997
87,87,88,boat,34.914,0.0897,24.334,24.334,34.914,69.914,0.0678,0.0789,0.0897,1.0905,3749.9999,8.22951109229779,10.580000000000002
92,92,93,boat,66.32,0.0102,64.66199999999999,64.66199999999999,66.32,101.32,0.0678,0.0789,0.0102,0.0209,6250.0013,8.740336950730425,1.6580000000000013
94,94,95,boat,111.462,0.0051,422.984,422.984,111.462,146.46200000000005,0.5333,0.4522,0.0051,1.0266,11250.001,9.328123496521451,311.522
96,96,97,boat,74.32,0.0897,72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7083.3317,8.86549965509619,1.8579999999999899
109,109,110,boat,68.77,0.2413,125.902,125.902,68.77,103.77,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,57.132000000000005
110,110,111,boat,58.32,0.0108,56.862,56.862,58.32,93.32,0.0678,0.0025,0.0108,0.2377,5416.6667,8.59723590524362,1.4579999999999984
116,116,117,boat,58.32,0.0233,58.32,58.32,58.32,76.82,0.2537,0.1498,0.0233,0.0219,5416.6667,8.59723590524362,0.0
121,121,122,boat,94.74,0.0897,205.27,205.27,94.74,129.74,0.0678,0.0789,0.0897,1.0905,12499.998,9.43348376329038,110.53000000000002
124,124,125,boat,55.74,0.0102,120.77,120.77,55.74,90.74,0.0678,0.0789,0.0102,0.0209,7083.3317,8.86549965509619,65.03
129,129,130,boat,94.74,0.0102,205.27,205.27,94.74,129.74,0.0678,0.0789,0.0102,0.0209,12499.998,9.43348376329038,110.53000000000002
130,130,131,boat,94.74,0.0108,205.27,205.27,94.74,129.74,0.0678,0.0025,0.0108,0.2377,12499.998,9.43348376329038,110.53000000000002
132,132,133,boat,61.74,0.0732,261.366,261.366,61.74,91.24,0.0678,0.0052,0.0732,0.1726,7916.6663,8.976725474478886,199.62599999999998
133,133,134,boat,25.74,0.0143,108.966,108.966,25.74,55.24,0.0678,0.0503,0.0143,0.0289,2916.6666,7.978196667826407,83.226
134,134,135,boat,67.74,0.0143,286.766,286.766,67.74,97.24,0.0678,0.0503,0.0143,0.0289,8750.001,9.076809093637367,219.026
135,135,136,boat,205.27,0.0156,375.802,375.802,205.27,240.27,0.5333,0.4522,0.0156,0.0058,12499.998,9.43348376329038,170.532
140,140,141,boat,66.32,0.2339,66.32,66.32,66.32,84.82,0.2537,0.1498,0.2339,0.6288,6250.0013,8.740336950730425,0.0
142,142,143,boat,74.32,0.0897,72.462,72.462,74.32,109.32,0.0678,0.0789,0.0897,1.0905,7083.3317,8.86549965509619,1.8579999999999899
144,144,145,boat,94.506,0.2413,333.2580000000001,333.2580000000001,94.506,129.506,0.5333,0.4522,0.2413,1.0266,6250.0013,8.740336950730425,238.7520000000001
148,148,149,boat,182.898,0.0897,128.70600000000002,128.70600000000002,182.898,217.898,0.0678,0.0789,0.0897,1.0905,8750.001,9.076809093637367,54.19199999999998
152,152,153,boat,63.172,0.0613,139.35,139.35,63.172,87.17200000000003,0.1049,0.0079,0.0613,0.3087,7083.3317,8.86549965509619,76.178
153,153,154,boat,49.572,0.0613,109.35,109.35,49.572,73.572,0.1049,0.0079,0.0613,0.3087,5416.6667,8.59723590524362,59.77799999999999
154,154,155,boat,56.372,0.2413,323.31,323.31,56.372,91.372,0.5333,0.4522,0.2413,1.0266,6250.0013,8.740336950730425,266.938
155,155,156,boat,71.214,0.0276,71.214,71.214,71.214,96.214,0.0678,0.0503,0.0276,0.0029,2916.6666,7.978196667826407,0.0
156,156,157,boat,42.772,0.1574,94.35,94.35,42.772,66.77199999999999,0.1049,0.0451,0.1574,0.4671,4583.332,8.430181523517474,51.577999999999996
