,Unnamed: 0,sex,volunteer,Q 1,Q 2,Q 3,Q 4,Q 5,Q 6,Q 7,Q 8,Q 9,Q 10,Q 11,Q 12,Q 13,Q 14,Q 15,Q 16,Q 17,Q 18,Q 19,Q 20,Q 21,Q 22,Q 23,Q 24,Q 25,Q 26,Q 27,Q 28,Q 29,Q 30,Q 31,Q 32,Q 33,Q 34,Q 35,Q 36,Q 37,Q 38,Q 39,Q 40,Q 41,Q 42,Q 43,Q 44,Q 45,Q 46,Q 47,Q 48,Q 49,Q 50,Q 51,Q 52,Q 53,Q 54,Q 55,Q 56,Q 57
0,1,Женский,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Да
1,2,Женский,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Нет,Да,Да,Нет
2,3,Женский,Да,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Да,Нет
3,4,Женский,Нет,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Нет,Да,Нет,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Нет,Нет,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Нет,Нет
4,5,Женский,Нет,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет
5,6,Женский,Нет,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Нет
6,7,Женский,Нет,Да,Нет,Нет,Да,Да,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Нет,Нет,Нет,Нет,Нет,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет
7,8,Женский,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Нет
8,9,Женский,Нет,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Нет,Да,Нет,Да,Нет,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Да,Нет,Да,Да,Да,Да,Да,Да,Да,Нет,Да,Нет,Да,Да,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Да,Да,Нет
9,10,Женский,Да,Да,Да,Нет,Нет,Да,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Нет,Нет,Нет,Да,Да,Да,Нет,Да,Нет,Нет,Да,Да,Да,Да,Нет,Нет,Да,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Да,Нет,Нет,Да,Нет,Да,Нет,Нет,Нет,Нет,Да,Нет,Нет,Нет,Да,Да,Да,Да,Нет
