,id,title,field
0,943306102e5b067d08a29094f37b8193,Java-разработчик c нуля,Development
1,17013cd19d25cb3f28dc1b2683721bb9,Веб-дизайн Базовый,Design
2,ac634845fb0350d0e9d49078aaa4b68f,Excel Базовый,Business
3,0770b1b039964228294f1f34b29fc2c1,Руководитель digital-проектов,Business
4,abce125a877c2196a3bc7bfbc11b5fc5,Веб-вёрстка для начинающих 2.0,Development
5,e9bb9205eeed307ee7cbaa08bfd166c3,JavaScript с нуля,Development
6,04ba6d0b40670c43a209141fa01fa784,Анимация интерфейсов,Design
7,c9fcb746d51e41bc5a217002d081454b,Веб-дизайн PRO 2.0,Design
8,dad6f6ffc086caa89e2f40c28a9c7490,UX-дизайн,Design
9,bf27a4bf4ada4c756451703ea62a914f,Интернет-маркетолог от Ingate,Marketing
10,e3a0df907589d56692b5cb561fd90d87,Веб-дизайн с нуля 2.0,Design
11,480d25ad36878fce09e7aada316ba1a6,Веб-разработчик,Development
12,842218e7c983795934bbe4533c0888c8,SMM-маркетолог от А до Я,Marketing
13,ccbab00e99b27f83369d6cc89d914ad6,PHP-разработчик с 0 до PRO. Часть 1,Development
14,6e4837f0a65c68efbfdd0594d6774701,Java-разработчик,Development
